h
# COMMANDS:
#   a               Annotate   Type a note into the log file
#   c       Start Controller   Start configured controller: NONE
#   g               Set Gain   Set nephelometer gain
#   h                   Help   Print help information
#   m                Measure   Take online measurements
#   p                   Pump   Manually switch on a pump
#   s                  Setup   Set parameters for a controller
#   z      Test Nephelometer   Switch to test nephelometer stub
# CONFIGURED CONTROLLER: NONE
# CONTROLLERS:
#   m                                             Manual
#   t                                        Turbidostat
#   r                                  Turbidostat Ratio
#   i                                 Turbidostat Induce
#   c                        Turbidostat Cycle Time Conc
#   g                     Turbidostat Gradient Time Conc
#   l                 Turbidostat Log-Gradient Time Conc
#   d                       Turbidostat Density Gradient
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
T	199	0.335	2	10.000	0	40.000
T	200	0.335	2	10.000	0	40.000
T	201	0.334	2	10.000	0	40.000
T	202	0.340	2	10.000	0	40.000
T	203	0.338	2	10.000	0	40.000
T	204	0.329	2	10.000	0	40.000
T	205	0.336	2	10.000	0	40.000
T	206	0.337	2	10.000	0	40.000
T	207	0.334	2	10.000	0	40.000
T	208	0.343	2	10.000	0	40.000
T	209	0.343	2	10.000	0	40.000
T	210	0.332	2	10.000	0	40.000
T	211	0.336	2	10.000	0	40.000
T	212	0.345	2	10.000	0	40.000
T	213	0.328	2	10.000	0	40.000
T	214	0.329	2	10.000	0	40.000
T	215	0.334	2	10.000	0	40.000
T	216	0.337	2	10.000	0	40.000
T	217	0.337	2	10.000	0	40.000
T	218	0.346	2	10.000	0	40.000
T	219	0.328	2	10.000	0	40.000
T	220	0.330	2	10.000	0	40.000
T	221	0.337	2	10.000	0	40.000
T	222	0.337	2	10.000	0	40.000
T	223	0.330	2	10.000	0	40.000
T	224	0.339	2	10.000	0	40.000
T	225	0.336	2	10.000	0	40.000
T	226	0.336	2	10.000	0	40.000
T	227	0.348	2	10.000	0	40.000
T	228	0.343	2	10.000	0	40.000
T	229	0.329	2	10.000	0	40.000
T	230	0.343	2	10.000	0	40.000
T	231	0.336	2	10.000	0	40.000
T	232	0.336	2	10.000	0	40.000
T	233	0.336	2	10.000	0	40.000
T	234	0.337	2	10.000	0	40.000
T	235	0.344	2	10.000	0	40.000
T	236	0.337	2	10.000	0	40.000
T	237	0.334	2	10.000	0	40.000
T	238	0.343	2	10.000	0	40.000
T	239	0.331	2	10.000	0	40.000
T	240	0.345	2	10.000	0	40.000
T	241	0.331	2	10.000	0	40.000
T	242	0.328	2	10.000	0	40.000
T	243	0.343	2	10.000	0	40.000
T	244	0.330	2	10.000	0	40.000
T	245	0.336	2	10.000	0	40.000
T	246	0.339	2	10.000	0	40.000
T	247	0.344	2	10.000	0	40.000
T	248	0.335	2	10.000	0	40.000
T	249	0.333	2	10.000	0	40.000
T	250	0.336	2	10.000	0	40.000
T	251	0.337	2	10.000	0	40.000
T	252	0.336	2	10.000	0	40.000
T	253	0.340	2	10.000	0	40.000
T	254	0.330	2	10.000	0	40.000
T	255	0.328	2	10.000	0	40.000
T	256	0.331	2	10.000	0	40.000
T	257	0.335	2	10.000	0	40.000
T	258	0.343	2	10.000	0	40.000
T	259	0.328	2	10.000	0	40.000
T	260	0.343	2	10.000	0	40.000
T	261	0.338	2	10.000	0	40.000
T	262	0.336	2	10.000	0	40.000
T	263	0.329	2	10.000	0	40.000
T	264	0.330	2	10.000	0	40.000
T	265	0.337	2	10.000	0	40.000
T	266	0.336	2	10.000	0	40.000
T	267	0.328	2	10.000	0	40.000
T	268	0.331	2	10.000	0	40.000
T	269	0.337	2	10.000	0	40.000
T	270	0.335	2	10.000	0	40.000
T	271	0.329	2	10.000	0	40.000
T	272	0.346	2	10.000	0	40.000
T	273	0.325	2	10.000	0	40.000
T	274	0.331	2	10.000	0	40.000
T	275	0.335	2	10.000	0	40.000
T	276	0.338	2	10.000	0	40.000
T	277	0.329	2	10.000	0	40.000
T	278	0.331	2	10.000	0	40.000
T	279	0.341	2	10.000	0	40.000
T	280	0.331	2	10.000	0	40.000
T	281	0.335	2	10.000	0	40.000
T	282	0.332	2	10.000	0	40.000
T	283	0.338	2	10.000	0	40.000
T	284	0.337	2	10.000	0	40.000
T	285	0.330	2	10.000	0	40.000
T	286	0.335	2	10.000	0	40.000
T	287	0.336	2	10.000	0	40.000
T	288	0.334	2	10.000	0	40.000
T	289	0.337	2	10.000	0	40.000
T	290	0.331	2	10.000	0	40.000
T	291	0.336	2	10.000	0	40.000
T	292	0.336	2	10.000	0	40.000
T	293	0.338	2	10.000	0	40.000
T	294	0.346	2	10.000	0	40.000
T	295	0.347	2	10.000	0	40.000
T	296	0.345	2	10.000	0	40.000
T	297	0.338	2	10.000	0	40.000
T	298	0.343	2	10.000	0	40.000
T	299	0.336	2	10.000	0	40.000
T	300	0.337	2	10.000	0	40.000
T	301	0.346	2	10.000	0	40.000
T	302	0.337	2	10.000	0	40.000
T	303	0.337	2	10.000	0	40.000
T	304	0.347	2	10.000	0	40.000
T	305	0.334	2	10.000	0	40.000
T	306	0.341	2	10.000	0	40.000
T	307	0.336	2	10.000	0	40.000
T	308	0.335	2	10.000	0	40.000
T	309	0.335	2	10.000	0	40.000
T	310	0.346	2	10.000	0	40.000
T	311	0.345	2	10.000	0	40.000
T	312	0.337	2	10.000	0	40.000
T	313	0.337	2	10.000	0	40.000
T	314	0.344	2	10.000	0	40.000
T	315	0.327	2	10.000	0	40.000
T	316	0.337	2	10.000	0	40.000
T	317	0.334	2	10.000	0	40.000
T	318	0.341	2	10.000	0	40.000
T	319	0.335	2	10.000	0	40.000
T	320	0.330	2	10.000	0	40.000
T	321	0.336	2	10.000	0	40.000
T	322	0.337	2	10.000	0	40.000
T	323	0.328	2	10.000	0	40.000
T	324	0.338	2	10.000	0	40.000
T	325	0.338	2	10.000	0	40.000
T	326	0.346	2	10.000	0	40.000
T	327	0.328	2	10.000	0	40.000
T	328	0.338	2	10.000	0	40.000
T	329	0.337	2	10.000	0	40.000
T	330	0.335	2	10.000	0	40.000
T	331	0.338	2	10.000	0	40.000
T	332	0.337	2	10.000	0	40.000
T	333	0.329	2	10.000	0	40.000
T	334	0.338	2	10.000	0	40.000
T	335	0.335	2	10.000	0	40.000
T	336	0.338	2	10.000	0	40.000
T	337	0.330	2	10.000	0	40.000
T	338	0.337	2	10.000	0	40.000
T	339	0.340	2	10.000	0	40.000
T	340	0.331	2	10.000	0	40.000
T	341	0.329	2	10.000	0	40.000
T	342	0.331	2	10.000	0	40.000
T	343	0.343	2	10.000	0	40.000
T	344	0.339	2	10.000	0	40.000
T	345	0.336	2	10.000	0	40.000
T	346	0.337	2	10.000	0	40.000
T	347	0.338	2	10.000	0	40.000
T	348	0.341	2	10.000	0	40.000
T	349	0.335	2	10.000	0	40.000
T	350	0.341	2	10.000	0	40.000
T	351	0.330	2	10.000	0	40.000
T	352	0.331	2	10.000	0	40.000
T	353	0.328	2	10.000	0	40.000
T	354	0.330	2	10.000	0	40.000
T	355	0.343	2	10.000	0	40.000
T	356	0.331	2	10.000	0	40.000
T	357	0.336	2	10.000	0	40.000
T	358	0.332	2	10.000	0	40.000
T	359	0.337	2	10.000	0	40.000
T	360	0.340	2	10.000	0	40.000
T	361	0.331	2	10.000	0	40.000
T	362	0.339	2	10.000	0	40.000
T	363	0.338	2	10.000	0	40.000
T	364	0.342	2	10.000	0	40.000
T	365	0.329	2	10.000	0	40.000
T	366	0.337	2	10.000	0	40.000
T	367	0.345	2	10.000	0	40.000
T	368	0.332	2	10.000	0	40.000
T	369	0.326	2	10.000	0	40.000
T	370	0.334	2	10.000	0	40.000
T	371	0.331	2	10.000	0	40.000
T	372	0.338	2	10.000	0	40.000
T	373	0.332	2	10.000	0	40.000
T	374	0.348	2	10.000	0	40.000
T	375	0.339	2	10.000	0	40.000
T	376	0.332	2	10.000	0	40.000
T	377	0.341	2	10.000	0	40.000
T	378	0.332	2	10.000	0	40.000
T	379	0.337	2	10.000	0	40.000
T	380	0.342	2	10.000	0	40.000
T	381	0.329	2	10.000	0	40.000
T	382	0.340	2	10.000	0	40.000
T	383	0.330	2	10.000	0	40.000
T	384	0.333	2	10.000	0	40.000
T	385	0.331	2	10.000	0	40.000
T	386	0.338	2	10.000	0	40.000
T	387	0.337	2	10.000	0	40.000
T	388	0.340	2	10.000	0	40.000
T	389	0.340	2	10.000	0	40.000
T	390	0.337	2	10.000	0	40.000
T	391	0.334	2	10.000	0	40.000
T	392	0.338	2	10.000	0	40.000
T	393	0.339	2	10.000	0	40.000
T	394	0.331	2	10.000	0	40.000
T	395	0.342	2	10.000	0	40.000
T	396	0.337	2	10.000	0	40.000
T	397	0.330	2	10.000	0	40.000
T	398	0.337	2	10.000	0	40.000
