"Part";"Value";"Device";"Package";"Description";"DIGIKEY#";"MANF";"MANF#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"R102";"1K5";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"Stackpole Electronics Inc";"CF14JT330R";"";"";"";"";
"R103";"1K5";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"Stackpole Electronics Inc";"CF14JT330R";"";"";"";"";
"R104";"1K5";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT1K50CT-ND";"Stackpole Electronics Inc";"CF14JT330R";"";"";"";"";
"R105";"4K7";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT4K70CT-ND";"Stackpole Electronics Inc";"CF14JT4K70";"";"";"";"";
"R106";"4K7";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT4K70CT-ND";"Stackpole Electronics Inc";"CF14JT4K70";"";"";"";"";
"R107";"4K7";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT4K70CT-ND";"Stackpole Electronics Inc";"CF14JT4K70";"";"";"";"";
"R108";"4K7";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT4K70CT-ND";"Stackpole Electronics Inc";"CF14JT4K70";"";"";"";"";
"R109";"33K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"Stackpole Electronics Inc";"CF14JT33K0";"";"";"";"";
"R110";"2K2";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT2K20CT-ND";"Stackpole Electronics Inc";"CF14JT2K20";"";"";"";"";
"R111";"680R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT680RCT-ND";"Stackpole Electronics Inc";"CF14JT680R";"";"";"";"";
"R112";"33K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"Stackpole Electronics Inc";"CF14JT33K0";"";"";"";"";
"R113";"2K2";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT2K20CT-ND";"Stackpole Electronics Inc";"CF14JT2K20";"";"";"";"";
"R114";"680R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT680RCT-ND";"Stackpole Electronics Inc";"CF14JT680R";"";"";"";"";
"R115";"33K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"Stackpole Electronics Inc";"CF14JT33K0";"";"";"";"";
"R116";"2K2";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT2K20CT-ND";"Stackpole Electronics Inc";"CF14JT2K20";"";"";"";"";
"R117";"680R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT680RCT-ND";"Stackpole Electronics Inc";"CF14JT680R";"";"";"";"";
"R118";"33K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"Stackpole Electronics Inc";"CF14JT33K0";"";"";"";"";
"R119";"2K2";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT2K20CT-ND";"Stackpole Electronics Inc";"CF14JT2K20";"";"";"";"";
"R120";"680R";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT680RCT-ND";"Stackpole Electronics Inc";"CF14JT680R";"";"";"";"";
"R121";"1K0";"R-US_0207/9";"0207/9";"RESISTOR, American symbol";"S1KHCT-ND";"Stackpole Electronics Inc.";"CFM12JT1K00";"";"";"";"";
"R122";"33K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"Stackpole Electronics Inc";"CF14JT33K0";"";"";"";"";
"R123";"10K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT10K0CT-ND";"Stackpole Electronics Inc";"CF14JT10K0";"";"";"";"";
"R124";"10K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT10K0CT-ND";"Stackpole Electronics Inc";"CF14JT10K0";"";"";"";"";
"R125";"10K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT10K0CT-ND";"Stackpole Electronics Inc";"CF14JT10K0";"";"";"";"";
"R126";"33K";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"CF14JT33K0CT-ND";"Stackpole Electronics Inc";"CF14JT33K0";"";"";"";"";
"T101";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";
"T102";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";
"T103";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";
"T104";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";
"T105";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";
"T106";"2N2222";"2N2222";"TO92-EBC-OVAL";"NPN TRANSISTOR";"PN2222ATFCT-ND";"Fairchild Semiconductor";"PN2222ATF";"";"";"";"";
